Smokin';Boston;1976;Smokin' by Boston
Something About You;Boston;;Something About You by Boston
The Journey/It's Easy;Boston;;The Journey/It's Easy by Boston
Used To Bad News;Boston;;Used To Bad News by Boston
We're Ready;Boston;;We're Ready by Boston
Lido Shuffle;Boz Scaggs;1976;Lido Shuffle by Boz Scaggs
Lowdown;Boz Scaggs;1976;Lowdown by Boz Scaggs
Tarkio Road;Brewer & Shipley;;Tarkio Road by Brewer & Shipley
The Way It Is;Bruce Hornsby & The Range;1986;The Way It Is by Bruce Hornsby & The Range
Atlantic City;Bruce Springsteen;1982;Atlantic City by Bruce Springsteen
Backstreets;Bruce Springsteen;1975;Backstreets by Bruce Springsteen
Badlands;Bruce Springsteen;1978;Badlands by Bruce Springsteen
Blinded By the Light;Bruce Springsteen;1973;Blinded By the Light by Bruce Springsteen
Born In the U.S.A.;Bruce Springsteen;1984;Born In the U.S.A. by Bruce Springsteen
Born To Run;Bruce Springsteen;1975;Born To Run by Bruce Springsteen
Cover Me;Bruce Springsteen;1984;Cover Me by Bruce Springsteen
Dancing In the Dark;Bruce Springsteen;1984;Dancing In the Dark by Bruce Springsteen
Glory Days;Bruce Springsteen;1984;Glory Days by Bruce Springsteen
Growin' Up;Bruce Springsteen;1973;Growin' Up by Bruce Springsteen
Hungry Heart;Bruce Springsteen;1980;Hungry Heart by Bruce Springsteen
I'm On Fire;Bruce Springsteen;1984;I'm On Fire by Bruce Springsteen
It's Hard to Be a Saint in the City;Bruce Springsteen;1973;It's Hard to Be a Saint in the City by Bruce Springsteen
Jersey Girl;Bruce Springsteen;;Jersey Girl by Bruce Springsteen
Jungleland;Bruce Springsteen;1975;Jungleland by Bruce Springsteen
Pink Cadillac;Bruce Springsteen;1984;Pink Cadillac by Bruce Springsteen
Prove It All Night;Bruce Springsteen;1978;Prove It All Night by Bruce Springsteen
Racing in the Streets;Bruce Springsteen;1978;Racing in the Streets by Bruce Springsteen
Rosalita (Come Out Tonight);Bruce Springsteen;1973;Rosalita (Come Out Tonight) by Bruce Springsteen
She's The One;Bruce Springsteen;1975;She's The One by Bruce Springsteen
Spirit In The Night;Bruce Springsteen;1973;Spirit In The Night by Bruce Springsteen
Tenth Avenue Freeze-Out;Bruce Springsteen;1975;Tenth Avenue Freeze-Out by Bruce Springsteen
Thunder Road;Bruce Springsteen;1975;Thunder Road by Bruce Springsteen
Cuts Like a Knife;Bryan Adams;1983;Cuts Like a Knife by Bryan Adams
Heaven;Bryan Adams;1984;Heaven by Bryan Adams
Run to You;Bryan Adams;1984;Run to You by Bryan Adams
Somebody;Bryan Adams;1984;Somebody by Bryan Adams
Summer Of '69;Bryan Adams;1984;Summer Of '69 by Bryan Adams
Sorry;Buckcherry;2007;Sorry by Buckcherry
For What It's Worth;Buffalo Springfield;1966;For What It's Worth by Buffalo Springfield
Mr. Soul;Buffalo Springfield;1967;Mr. Soul by Buffalo Springfield
Rock & Roll Woman;Buffalo Springfield;;Rock & Roll Woman by Buffalo Springfield
Comedown;Bush;1994;Comedown by Bush
Machinehead;Bush;1994;Machinehead by Bush
Far Behind;Candlebox;1993;Far Behind by Candlebox
Goin' up the Country;Canned Heat;1968;Goin' up the Country by Canned Heat
On the Road Again;Canned Heat;1968;On the Road Again by Canned Heat
IT'S TOO LATE;Carole King;1971;IT'S TOO LATE by Carole King
Oh Very Young;Cat Stevens;;Oh Very Young by Cat Stevens
WILD WORLD;Cat Stevens;1971;WILD WORLD by Cat Stevens
In America;Charlie Daniels Band;1980;In America by Charlie Daniels Band
Long Haired Country Boy;Charlie Daniels Band;1975;Long Haired Country Boy by Charlie Daniels Band
The Devil Went Down To Georgia;Charlie Daniels Band;1979;The Devil Went Down To Georgia by Charlie Daniels Band
The Legend Of Wooley Swamp;Charlie Daniels Band;;The Legend Of Wooley Swamp by Charlie Daniels Band
The South's Gonna Do It Again;Charlie Daniels Band;1975;The South's Gonna Do It Again by Charlie Daniels Band
Uneasy Rider;Charlie Daniels Band;1973;Uneasy Rider by Charlie Daniels Band
Ain't That a Shame;Cheap Trick;;Ain't That a Shame by Cheap Trick
Dream Police;Cheap Trick;;Dream Police by Cheap Trick
I Want You to Want Me;Cheap Trick;1977;I Want You to Want Me by Cheap Trick
She's Tight;Cheap Trick;;She's Tight by Cheap Trick
Surrender;Cheap Trick;1978;Surrender by Cheap Trick
Take Out The Gunman;Chevelle;2014;Take Out The Gunman by Chevelle
25 Or 6 To 4;Chicago;1970;25 Or 6 To 4 by Chicago
Beginnings;Chicago;;Beginnings by Chicago
Feeling Stronger Every;Chicago;1973;Feeling Stronger Every by Chicago
I'm a Man;Chicago;;I'm a Man by Chicago
JUST YOU AND ME;Chicago;;JUST YOU AND ME by Chicago
Make Me Smile;Chicago;1970;Make Me Smile by Chicago
Questions 67 and 68;Chicago;1969;Questions 67 and 68 by Chicago
Saturday In the Park;Chicago;1972;Saturday In the Park by Chicago
South California Purples;Chicago;;South California Purples by Chicago
JOHNNY B. GOODE;Chuck Berry;1958;JOHNNY B. GOODE by Chuck Berry
Coming Home;Cinderella;1988;Coming Home by Cinderella
Don't Know What You Got;Cinderella;1988;Don't Know What You Got by Cinderella
Gypsy Road;Cinderella;1988;Gypsy Road by Cinderella
Nobody's Fool;Cinderella;1986;Nobody's Fool by Cinderella
Somebody Save Me;Cinderella;1986;Somebody Save Me by Cinderella
Better Off Without You;Clarks;;Better Off Without You by Clarks
Born Too Late;Clarks;;Born Too Late by Clarks
Cigarette;Clarks;;Cigarette by Clarks
Hey You;Clarks;;Hey You by Clarks
Maybe;Clarks;;Maybe by Clarks
Penny On The Floor;Clarks;;Penny On The Floor by Clarks
The River;Clarks;;The River by Clarks
December;Collective Soul;;December by Collective Soul
Shine;Collective Soul;1993;Shine by Collective Soul
The World I Know;Collective Soul;1995;The World I Know by Collective Soul
Hot Rod Lincoln;Commander Cody;1971;Hot Rod Lincoln by Commander Cody
Monkey Bars;Coney Hatch;;Monkey Bars by Coney Hatch
Mr. Jones;Counting Crows;1993;Mr. Jones by Counting Crows
Low;Cracker;1993;Low by Cracker
Badge;Cream;1969;Badge by Cream
Born Under A Bad Sign;Cream;;Born Under A Bad Sign by Cream
Crossroads;Cream;1968;Crossroads by Cream
I'm So Glad;Cream;1966;I'm So Glad by Cream
Sunshine of Your Love;Cream;1967;Sunshine of Your Love by Cream
Tales Of Brave Ulysses;Cream;1967;Tales Of Brave Ulysses by Cream
White Room;Cream;1968;White Room by Cream
Higher;Creed;1999;Higher by Creed
My Sacrifice;Creed;;My Sacrifice by Creed
With Arms Wide Open;Creed;1999;With Arms Wide Open by Creed
Bad Moon Rising;Creedence Clearwater Revival;1969;Bad Moon Rising by Creedence Clearwater Revival
Born On the Bayou;Creedence Clearwater Revival;1969;Born On the Bayou by Creedence Clearwater Revival
Commotion;Creedence Clearwater Revival;;Commotion by Creedence Clearwater Revival
Down On the Corner;Creedence Clearwater Revival;1969;Down On the Corner by Creedence Clearwater Revival
Fortunate Son;Creedence Clearwater Revival;1970;Fortunate Son by Creedence Clearwater Revival
Green River;Creedence Clearwater Revival;1969;Green River by Creedence Clearwater Revival
Have You Ever Seen the Rain?;Creedence Clearwater Revival;1971;Have You Ever Seen the Rain? by Creedence Clearwater Revival
I Heard It Through the Grapevine;Creedence Clearwater Revival;;I Heard It Through the Grapevine by Creedence Clearwater Revival
Lodi;Creedence Clearwater Revival;1969;Lodi by Creedence Clearwater Revival
Lookin' Out My Back Door;Creedence Clearwater Revival;1970;Lookin' Out My Back Door by Creedence Clearwater Revival
Proud Mary;Creedence Clearwater Revival;1969;Proud Mary by Creedence Clearwater Revival
Run Through the Jungle;Creedence Clearwater Revival;1970;Run Through the Jungle by Creedence Clearwater Revival
Suzie Q;Creedence Clearwater Revival;1968;Suzie Q by Creedence Clearwater Revival
Sweet Hitch Hiker;Creedence Clearwater Revival;1971;Sweet Hitch Hiker by Creedence Clearwater Revival
The Midnight Special;Creedence Clearwater Revival;;The Midnight Special by Creedence Clearwater Revival
Travelin' Band;Creedence Clearwater Revival;1970;Travelin' Band by Creedence Clearwater Revival
Up Around the Bend;Creedence Clearwater Revival;1970;Up Around the Bend by Creedence Clearwater Revival
Who'll Stop the Rain;Creedence Clearwater Revival;1970;Who'll Stop the Rain by Creedence Clearwater Revival
Fire Woman;Crosby, Stills & Nash;;Fire Woman by Crosby, Stills & Nash
Helplessly Hoping;Crosby, Stills & Nash;1969;Helplessly Hoping by Crosby, Stills & Nash
Long Time Gone;Crosby, Stills & Nash;1969;Long Time Gone by Crosby, Stills & Nash
Southern Cross;Crosby, Stills & Nash;1982;Southern Cross by Crosby, Stills & Nash
Suite: Judy Blue Eyes;Crosby, Stills & Nash;1969;Suite: Judy Blue Eyes by Crosby, Stills & Nash
Carry On;Crosby, Stills, Nash & Young;1970;Carry On by Crosby, Stills, Nash & Young
Ohio;Crosby, Stills, Nash & Young;1970;Ohio by Crosby, Stills, Nash & Young
Woodstock;Crosby, Stills, Nash & Young;1970;Woodstock by Crosby, Stills, Nash & Young
(I Just) Died in Your Arms;Cutting Crew;1986;(I Just) Died in Your Arms by Cutting Crew
High Enough;Damn Yankees;1990;High Enough by Damn Yankees
I HEAR YOU KNOCKING;Dave Edmunds;1970;I HEAR YOU KNOCKING by Dave Edmunds
Headkeeper;Dave Mason;;Headkeeper by Dave Mason
